region_index,region_name,misclassification_rate,n_samples
201,pHIP-rh,0.9,10
187,RH_DefaultA_PFCm_2,0.8,10
224,NAc-shell-lh,0.7,10
143,RH_SalVentAttnA_Ins_1,0.7,10
99,LH_TempPar_2,0.7,10
24,LH_SomMotB_Aud_3,0.6,10
227,aGP-lh,0.6,10
215,pCAU-rh,0.6,10
83,LH_DefaultB_Temp_2,0.6,10
202,lAMY-rh,0.6,10
217,pHIP-lh,0.6,10
177,RH_ContB_PFClv_2,0.5,10
127,RH_SomMotB_S2_3,0.5,10
214,aCAU-rh,0.5,10
32,LH_DorsAttnA_SPL_2,0.5,10
114,RH_SomMotA_3,0.5,10
98,LH_TempPar_1,0.5,10
36,LH_DorsAttnB_PostC_3,0.5,10
210,pGP-rh,0.5,10
50,LH_LimbicB_OFC_1,0.5,10
157,RH_LimbicB_OFC_2,0.5,10
169,RH_ContA_Cingm_1,0.5,10
203,mAMY-rh,0.5,10
211,aGP-rh,0.5,10
119,RH_SomMotA_8,0.5,10
16,LH_SomMotA_5,0.5,10
229,pPUT-lh,0.5,10
221,THA-VP-lh,0.5,10
142,RH_SalVentAttnA_PrC_1,0.4,10
222,THA-VA-lh,0.4,10
120,RH_SomMotA_9,0.4,10
60,LH_ContA_PFCd_1,0.4,10
146,RH_SalVentAttnA_FrMed_1,0.4,10
41,LH_SalVentAttnA_FrOper_1,0.4,10
225,NAc-core-lh,0.4,10
8,LH_VisPeri_ExStrInf_3,0.4,10
112,RH_SomMotA_1,0.4,10
161,RH_LimbicA_TempPole_2,0.4,10
226,pGP-lh,0.4,10
54,LH_LimbicA_TempPole_3,0.4,10
42,LH_SalVentAttnA_FrOper_2,0.4,10
228,aPUT-lh,0.4,10
117,RH_SomMotA_6,0.4,10
138,RH_DorsAttnB_PostC_3,0.4,10
118,RH_SomMotA_7,0.4,10
70,LH_ContB_PFClv_2,0.4,10
109,RH_VisPeri_ExStrSup_1,0.4,10
31,LH_DorsAttnA_SPL_1,0.4,10
107,RH_VisPeri_ExStrInf_2,0.4,10
213,pPUT-rh,0.4,10
218,lAMY-lh,0.4,10
27,LH_SomMotB_Cent_2,0.4,10
106,RH_VisPeri_ExStrInf_1,0.4,10
55,LH_LimbicA_TempPole_4,0.4,10
165,RH_ContA_IPS_2,0.30000000000000004,10
159,RH_LimbicB_OFC_4,0.30000000000000004,10
125,RH_SomMotB_S2_1,0.30000000000000004,10
155,RH_SalVentAttnB_PFCmp_1,0.30000000000000004,10
150,RH_SalVentAttnB_IPL_1,0.30000000000000004,10
147,RH_SalVentAttnA_ParMed_1,0.30000000000000004,10
111,RH_VisPeri_ExStrSup_3,0.30000000000000004,10
86,LH_DefaultB_IPL_1,0.30000000000000004,10
140,RH_DorsAttnB_FEF_1,0.30000000000000004,10
92,LH_DefaultB_PFCv_2,0.30000000000000004,10
136,RH_DorsAttnB_PostC_1,0.30000000000000004,10
174,RH_ContB_PFCld_1,0.30000000000000004,10
231,pCAU-lh,0.30000000000000004,10
20,LH_SomMotB_Aud_1,0.30000000000000004,10
1,LH_VisCent_ExStr_1,0.30000000000000004,10
38,LH_DorsAttnB_FEF_1,0.30000000000000004,10
34,LH_DorsAttnB_PostC_1,0.30000000000000004,10
208,NAc-shell-rh,0.30000000000000004,10
212,aPUT-rh,0.30000000000000004,10
22,LH_SomMotB_S2_1,0.30000000000000004,10
200,aHIP-rh,0.30000000000000004,10
21,LH_SomMotB_Aud_2,0.30000000000000004,10
56,LH_ContA_Temp_1,0.30000000000000004,10
18,LH_SomMotA_7,0.30000000000000004,10
35,LH_DorsAttnB_PostC_2,0.30000000000000004,10
193,RH_DefaultC_IPL_1,0.30000000000000004,10
59,LH_ContA_IPS_3,0.30000000000000004,10
15,LH_SomMotA_4,0.30000000000000004,10
220,THA-DP-lh,0.30000000000000004,10
223,THA-DA-lh,0.30000000000000004,10
7,LH_VisPeri_ExStrInf_2,0.30000000000000004,10
186,RH_DefaultA_PFCm_1,0.30000000000000004,10
5,LH_VisCent_ExStr_5,0.30000000000000004,10
